Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
64,61,3/4/2022,22-190,MIN,@,OKC,W (+37),0,17:39,8,8,1,2,2,1,2,2,1,0,5,5,2,0,0,1,0,20,19.5,29
65,62,3/5/2022,22-191,MIN,,POR,W (+14),0,13:08,2,2,1,0,0,,2,2,1,2,1,3,1,1,0,2,2,6,6,-1
66,63,3/7/2022,22-193,MIN,,POR,W (+43),0,20:45,5,8,0.625,2,3,0.667,6,7,0.857,2,9,11,0,1,1,2,4,18,16.2,13
67,64,3/9/2022,22-195,MIN,,OKC,W (+30),0,14:17,3,3,1,1,1,1,5,6,0.833,2,6,8,0,1,1,2,2,12,12.8,7
68,65,3/11/2022,22-197,MIN,@,ORL,L (-8),0,14:07,2,7,0.286,0,3,0,0,0,,1,3,4,2,1,0,1,5,4,0.9,-10
69,66,3/12/2022,22-198,MIN,@,MIA,W (+9),0,23:56,3,8,0.375,1,2,0.5,4,4,1,3,7,10,1,3,2,1,1,11,14.5,-7
70,,3/14/2022,22-200,MIN,@,SAS,W (+10),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
71,,3/16/2022,22-202,MIN,,LAL,W (+20),Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress
72,67,3/19/2022,22-205,MIN,,MIL,W (+19),0,12:41,6,9,0.667,1,4,0.25,1,1,1,2,1,3,1,1,0,1,2,14,11.7,-5
73,68,3/21/2022,22-207,MIN,@,DAL,L (-2),0,10:30,2,4,0.5,1,2,0.5,0,0,,1,0,1,0,1,0,0,2,5,3.9,-13
74,69,3/23/2022,22-209,MIN,,PHO,L (-9),0,17:09,3,6,0.5,1,2,0.5,3,4,0.75,2,1,3,2,1,1,0,4,10,9.8,3
75,70,3/25/2022,22-211,MIN,,DAL,W (+21),0,11:23,2,3,0.667,0,0,,0,0,,0,4,4,1,0,0,1,1,4,3.2,11
76,71,3/27/2022,22-213,MIN,@,BOS,L (-22),0,8:56,2,3,0.667,1,1,1,1,2,0.5,1,2,3,1,0,0,1,4,6,3.7,-5
77,72,3/30/2022,22-216,MIN,@,TOR,L (-23),0,18:52,3,7,0.429,0,3,0,3,3,1,2,4,6,2,2,2,1,1,9,11.3,-14
78,73,4/1/2022,22-218,MIN,@,DEN,W (+6),0,15:04,3,5,0.6,2,4,0.5,1,2,0.5,0,1,1,1,1,1,1,5,9,6,-5
79,74,4/3/2022,22-220,MIN,@,HOU,W (+7),0,12:35,3,6,0.5,0,1,0,0,0,,2,3,5,0,0,0,2,1,6,2.9,5
80,75,4/5/2022,22-222,MIN,,WAS,L (-18),0,13:26,1,6,0.167,0,3,0,2,2,1,0,2,2,0,1,0,2,3,4,-1.4,-4
81,76,4/7/2022,22-224,MIN,,SAS,W (+6),0,15:19,1,6,0.167,1,4,0.25,0,0,,0,3,3,2,0,0,1,3,3,-0.7,-1
82,77,4/10/2022,22-227,MIN,,CHI,L (-4),1,21:21,6,10,0.6,2,4,0.5,0,0,,2,3,5,0,0,2,2,4,14,9.5,-16
