Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
12,12,11/18/2023,24-084,MIN,@,NOP,W (+1),0,18:29,2,8,0.25,2,6,0.333,2,2,1,0,1,1,0,0,1,1,0,8,3.2,-8
13,13,11/20/2023,24-086,MIN,,NYK,W (+17),0,18:13,3,8,0.375,1,6,0.167,3,3,1,0,3,3,1,1,0,3,6,10,2.8,3
14,14,11/22/2023,24-088,MIN,,PHI,W (+13),0,21:34,6,13,0.462,1,4,0.25,0,1,0,1,3,4,0,3,1,0,1,13,10.8,4
15,15,11/24/2023,24-090,MIN,,SAC,L (-13),0,17:33,4,7,0.571,1,3,0.333,0,0,,0,1,1,0,0,2,3,0,9,4.4,-19
16,16,11/26/2023,24-092,MIN,@,MEM,W (+22),0,21:52,4,9,0.444,1,2,0.5,3,4,0.75,2,4,6,0,1,0,1,4,12,7.9,4
17,17,11/28/2023,24-094,MIN,,OKC,W (+3),0,25:26:00,6,9,0.667,3,4,0.75,0,0,,1,6,7,2,0,2,1,2,15,14.6,1
18,18,11/30/2023,24-096,MIN,,UTA,W (+11),0,22:01,3,9,0.333,0,4,0,0,0,,1,2,3,0,1,1,0,2,6,3.1,-2
19,19,12/2/2023,24-098,MIN,@,CHO,W (+6),0,24:32:00,9,14,0.643,3,6,0.5,2,2,1,2,3,5,2,1,0,2,0,23,19.5,-7
20,20,12/6/2023,24-102,MIN,,SAS,W (+8),0,28:59:00,7,18,0.389,1,7,0.143,0,0,,4,5,9,2,0,1,1,2,15,9.8,10
21,21,12/8/2023,24-104,MIN,@,MEM,W (+24),0,23:30,5,12,0.417,0,5,0,0,0,,0,9,9,2,1,1,1,2,10,7.6,7
22,22,12/11/2023,24-107,MIN,@,NOP,L (-14),0,24:18:00,7,15,0.467,3,7,0.429,0,0,,3,3,6,2,1,0,0,3,17,13.5,0
23,23,12/14/2023,24-110,MIN,@,DAL,W (+18),0,31:24:00,8,14,0.571,7,11,0.636,4,4,1,2,4,6,3,1,0,2,2,27,23.3,16
24,24,12/16/2023,24-112,MIN,,IND,W (+18),0,27:05:00,6,8,0.75,3,5,0.6,2,2,1,0,5,5,0,0,0,1,2,17,13.5,25
25,25,12/18/2023,24-114,MIN,@,MIA,W (+4),0,21:07,5,13,0.385,1,6,0.167,2,2,1,1,3,4,1,1,1,1,2,13,8.1,2
26,26,12/20/2023,24-116,MIN,@,PHI,L (-14),0,20:03,4,9,0.444,2,6,0.333,0,0,,1,1,2,1,0,1,4,3,10,2.5,-27
27,27,12/21/2023,24-117,MIN,,LAL,W (+7),0,21:05,3,9,0.333,3,6,0.5,0,0,,2,3,5,2,1,1,3,6,9,3.9,5
28,28,12/23/2023,24-119,MIN,@,SAC,W (+12),0,19:11,2,4,0.5,0,1,0,2,2,1,0,2,2,2,2,0,1,0,6,7,-13
29,29,12/26/2023,24-122,MIN,@,OKC,L (-23),0,18:34,2,4,0.5,2,3,0.667,0,0,,1,6,7,0,0,0,4,1,6,2.1,-9
30,30,12/28/2023,24-124,MIN,,DAL,W (+8),0,18:15,3,5,0.6,3,5,0.6,0,0,,0,4,4,2,0,0,3,4,9,4.7,12
31,31,12/30/2023,24-126,MIN,,LAL,W (+2),0,27:15:00,8,11,0.727,2,5,0.4,3,4,0.75,0,5,5,1,2,2,2,3,21,18.5,13
32,32,1/1/2024,24-128,MIN,@,NYK,L (-6),0,19:17,2,6,0.333,1,4,0.25,0,0,,0,2,2,0,0,0,0,5,5,0.2,-5
33,33,1/3/2024,24-130,MIN,,NOP,L (-11),0,24:35:00,3,8,0.375,2,5,0.4,0,0,,0,6,6,2,0,2,1,2,8,6.4,3
34,34,1/5/2024,24-132,MIN,@,HOU,W (+27),0,24:46:00,6,11,0.545,3,6,0.5,1,2,0.5,1,6,7,2,0,1,0,1,16,14.5,21
35,35,1/7/2024,24-134,MIN,@,DAL,L (-7),0,26:39:00,7,12,0.583,1,4,0.25,0,2,0,4,5,9,0,0,0,0,2,15,12.1,-1
36,36,1/9/2024,24-136,MIN,@,ORL,W (+21),0,21:02,5,8,0.625,2,4,0.5,1,2,0.5,2,8,10,2,0,0,3,3,13,10,1
37,37,1/10/2024,24-137,MIN,@,BOS,L (-7),0,37:26:00,7,15,0.467,3,7,0.429,2,2,1,3,7,10,3,0,3,1,4,19,17.1,2
38,38,1/12/2024,24-139,MIN,,POR,W (+23),0,20:42,5,10,0.5,2,6,0.333,2,5,0.4,1,2,3,1,2,0,0,2,14,11,-4
39,39,1/14/2024,24-141,MIN,,LAC,W (+4),0,14:23,3,5,0.6,2,3,0.667,0,0,,0,1,1,1,2,0,1,2,8,6.9,6
40,40,1/17/2024,24-144,MIN,@,DET,W (+7),0,23:11,3,9,0.333,1,4,0.25,2,4,0.5,0,4,4,1,3,0,1,0,9,7,3
41,41,1/18/2024,24-145,MIN,,MEM,W (+15),0,23:47,8,13,0.615,4,5,0.8,0,0,,0,3,3,1,2,1,0,2,20,17.6,16
42,42,1/20/2024,24-147,MIN,,OKC,L (-5),0,25:50:00,7,13,0.538,4,8,0.5,0,0,,0,3,3,0,0,4,4,3,18,10.2,17
43,43,1/22/2024,24-149,MIN,,CHO,L (-3),0,14:37,2,5,0.4,1,4,0.25,0,0,,0,0,0,0,1,0,1,3,5,1.1,6
44,44,1/24/2024,24-151,MIN,@,WAS,W (+11),0,20:45,2,9,0.222,1,3,0.333,0,0,,0,3,3,2,1,1,0,1,5,3.1,2
45,45,1/25/2024,24-152,MIN,@,BRK,W (+2),0,22:42,2,7,0.286,1,3,0.333,0,0,,1,3,4,2,0,1,1,3,5,2.4,8
46,46,1/27/2024,24-154,MIN,@,SAS,L (-1),0,21:51,5,12,0.417,2,5,0.4,1,2,0.5,0,2,2,0,0,3,1,2,13,7.1,5
